Year,Period,Label,Value,12-Month % Change,Month
2012,M12,2012 Dec,108.4,1.8,12/31/2012
2013,M01,2013 Jan,108.7,1.7,1/31/2013
2013,M02,2013 Feb,108.9,1.6,2/28/2013
2013,M03,2013 Mar,108.9,1.4,3/31/2013
2013,M04,2013 Apr,108.7,0.9,4/30/2013
2013,M05,2013 May,108.6,0.9,5/31/2013
2013,M06,2013 Jun,109,1.6,6/30/2013
2013,M07,2013 Jul,109.2,1.9,7/31/2013
2013,M08,2013 Aug,109.3,1.7,8/31/2013
2013,M09,2013 Sep,109.3,1,9/30/2013
2013,M10,2013 Oct,109.5,1.1,10/31/2013
2013,M11,2013 Nov,109.7,1.2,11/30/2013
2013,M12,2013 Dec,109.8,1.3,12/31/2013
2014,M01,2014 Jan,110.1,1.3,1/31/2014
2014,M02,2014 Feb,110.3,1.3,2/28/2014
2014,M03,2014 Mar,110.7,1.7,3/31/2014
2014,M04,2014 Apr,110.8,1.9,4/30/2014
2014,M05,2014 May,111,2.2,5/31/2014
2014,M06,2014 Jun,110.9,1.7,6/30/2014
2014,M07,2014 Jul,111.3,1.9,7/31/2014
2014,M08,2014 Aug,111.3,1.8,8/31/2014
2014,M09,2014 Sep,111.1,1.6,9/30/2014
2014,M10,2014 Oct,111.3,1.6,10/31/2014
2014,M11,2014 Nov,111.1,1.3,11/30/2014
2014,M12,2014 Dec,110.8,0.9,12/31/2014
2015,M01,2015 Jan,110.1,0,1/31/2015
2015,M02,2015 Feb,109.6,-0.6,2/28/2015
2015,M03,2015 Mar,109.8,-0.8,3/31/2015
2015,M04,2015 Apr,109.6,-1.1,4/30/2015
2015,M05,2015 May,110,-0.9,5/31/2015
2015,M06,2015 Jun,110.3,-0.5,6/30/2015
2015,M07,2015 Jul,110.5,-0.7,7/31/2015
2015,M08,2015 Aug,110.3,-0.9,8/31/2015
2015,M09,2015 Sep,109.9,-1.1,9/30/2015
2015,M10,2015 Oct,109.6,-1.5,10/31/2015
2015,M11,2015 Nov,109.7,-1.3,11/30/2015
2015,M12,2015 Dec,109.6,-1.1,12/31/2015
2016,M01,2016 Jan,110,-0.1,1/31/2016
2016,M02,2016 Feb,109.7,0.1,2/29/2016
2016,M03,2016 Mar,109.7,-0.1,3/31/2016
2016,M04,2016 Apr,109.9,0.3,4/30/2016
2016,M05,2016 May,110.1,0.1,5/31/2016
2016,M06,2016 Jun,110.6,0.3,6/30/2016
2016,M07,2016 Jul,110.5,0,7/31/2016
2016,M08,2016 Aug,110.3,0,8/31/2016
2016,M09,2016 Sep,110.6,0.6,9/30/2016
2016,M10,2016 Oct,110.9,1.2,10/31/2016
2016,M11,2016 Nov,111.1,1.3,11/30/2016
2016,M12,2016 Dec,111.4,1.6,12/31/2016
2017,M01,2017 Jan,111.9,1.7,1/31/2017
2017,M02,2017 Feb,111.9,2,2/28/2017
2017,M03,2017 Mar,112.1,2.2,3/31/2017
2017,M04,2017 Apr,112.6,2.5,4/30/2017
2017,M05,2017 May,112.5,2.2,5/31/2017
2017,M06,2017 Jun,112.6,1.8,6/30/2017
2017,M07,2017 Jul,112.7,2,7/31/2017
2017,M08,2017 Aug,113.1,2.5,8/31/2017
2017,M09,2017 Sep,113.5,2.6,9/30/2017
2017,M10,2017 Oct,113.9,2.7,10/31/2017
2017,M11,2017 Nov,114.3,2.9,11/30/2017
2017,M12,2017 Dec,114.4,2.7,12/31/2017
2018,M01,2018 Jan,114.8,2.6,1/31/2018
2018,M02,2018 Feb,115.1,2.9,2/28/2018
2018,M03,2018 Mar,115.3,2.9,3/31/2018
2018,M04,2018 Apr,115.5,2.6,4/30/2018
2018,M05,2018 May,115.9,3,5/31/2018
2018,M06,2018 Jun,116.3,3.3,6/30/2018
2018,M07,2018 Jul,116.4,3.3,7/31/2018
2018,M08,2018 Aug,116.5,3,8/31/2018
2018,M09,2018 Sep,116.7,2.8,9/30/2018
2018,M10,2018 Oct,117.5,3.2,10/31/2018
2018,M11,2018 Nov,117.4,2.7,11/30/2018
2018,M12,2018 Dec,117.4,2.6,12/31/2018
2019,M01,2019 Jan,117,1.9,1/31/2019
2019,M02,2019 Feb,117.2,1.8,2/28/2019
2019,M03,2019 Mar,117.6,2,3/31/2019
2019,M04,2019 Apr,118.2,2.3,4/30/2019
2019,M05,2019 May,118.3,2.1,5/31/2019
2019,M06,2019 Jun,118.2,1.6,6/30/2019
2019,M07,2019 Jul,118.5,1.8,7/31/2019
2019,M08,2019 Aug,118.6,1.8,8/31/2019
2019,M09,2019 Sep,118.3,1.4,9/30/2019
2019,M10,2019 Oct,118.8,1.1,10/31/2019
2019,M11,2019 Nov,118.6,1,11/30/2019
2019,M12,2019 Dec,119,1.4,12/31/2019
2020,M01,2020 Jan,119.2,1.9,1/31/2020
2020,M02,2020 Feb,118.6,1.2,2/29/2020
2020,M03,2020 Mar,118,0.3,3/31/2020
2020,M04,2020 Apr,116.6,-1.4,4/30/2020
2020,M05,2020 May,117.2,-0.9,5/31/2020
2020,M06,2020 Jun,117.5,-0.6,6/30/2020
2020,M07,2020 Jul,118.2,-0.3,7/31/2020
2020,M08,2020 Aug,118.4,-0.2,8/31/2020
2020,M09,2020 Sep,118.8,0.4,9/30/2020
2020,M10,2020 Oct,119.4,0.5,10/31/2020
2020,M11,2020 Nov,119.5,0.8,11/30/2020
2020,M12,2020 Dec,120,0.8,12/31/2020
2021,M01,2021 Jan,121.2,1.7,1/31/2021
2021,M02,2021 Feb,122,2.9,2/28/2021
2021,M03,2021 Mar,122.8,4.1,3/31/2021
2021,M04,2021 Apr,124.1,6.4,4/30/2021
2021,M05,2021 May,125.3,6.9,5/31/2021
2021,M06,2021 Jun,126.2,7.4,6/30/2021
2021,M07,2021 Jul,127.484,7.9,7/31/2021
2021,M08,2021 Aug,128.591,8.6,8/31/2021
2021,M09,2021 Sep,129.234,8.8,9/30/2021
2021,M10,2021 Oct,130.037,8.9,10/31/2021
2021,M11,2021 Nov,131.404,10,11/30/2021
