Year,Period,Label,Value,12-Month % Change,Month
1966,M12,1966 Dec,34.1,3.3,12/31/1966
1967,M01,1967 Jan,34.1,3.6,1/31/1967
1967,M02,1967 Feb,34.2,3.6,2/28/1967
1967,M03,1967 Mar,34.3,3.6,3/31/1967
1967,M04,1967 Apr,34.4,3.3,4/30/1967
1967,M05,1967 May,34.5,3.3,5/31/1967
1967,M06,1967 Jun,34.6,3.3,6/30/1967
1967,M07,1967 Jul,34.7,3.3,7/31/1967
1967,M08,1967 Aug,34.8,3.3,8/31/1967
1967,M09,1967 Sep,35,3.6,9/30/1967
1967,M10,1967 Oct,35.2,3.5,10/31/1967
1967,M11,1967 Nov,35.3,3.5,11/30/1967
1967,M12,1967 Dec,35.4,3.8,12/31/1967
1968,M01,1968 Jan,35.5,4.1,1/31/1968
1968,M02,1968 Feb,35.6,4.1,2/29/1968
1968,M03,1968 Mar,35.8,4.4,3/31/1968
1968,M04,1968 Apr,35.9,4.4,4/30/1968
1968,M05,1968 May,36,4.3,5/31/1968
1968,M06,1968 Jun,36.2,4.6,6/30/1968
1968,M07,1968 Jul,36.4,4.9,7/31/1968
1968,M08,1968 Aug,36.5,4.9,8/31/1968
1968,M09,1968 Sep,36.7,4.9,9/30/1968
1968,M10,1968 Oct,36.9,4.8,10/31/1968
1968,M11,1968 Nov,37.1,5.1,11/30/1968
1968,M12,1968 Dec,37.2,5.1,12/31/1968
1969,M01,1969 Jan,37.3,5.1,1/31/1969
1969,M02,1969 Feb,37.5,5.3,2/28/1969
1969,M03,1969 Mar,37.8,5.6,3/31/1969
1969,M04,1969 Apr,38.1,6.1,4/30/1969
1969,M05,1969 May,38.2,6.1,5/31/1969
1969,M06,1969 Jun,38.3,5.8,6/30/1969
1969,M07,1969 Jul,38.5,5.8,7/31/1969
1969,M08,1969 Aug,38.6,5.8,8/31/1969
1969,M09,1969 Sep,38.9,6,9/30/1969
1969,M10,1969 Oct,39.1,6,10/31/1969
1969,M11,1969 Nov,39.3,5.9,11/30/1969
1969,M12,1969 Dec,39.5,6.2,12/31/1969
1970,M01,1970 Jan,39.6,6.2,1/31/1970
1970,M02,1970 Feb,39.8,6.1,2/28/1970
1970,M03,1970 Mar,40.1,6.1,3/31/1970
1970,M04,1970 Apr,40.3,5.8,4/30/1970
1970,M05,1970 May,40.5,6,5/31/1970
1970,M06,1970 Jun,40.8,6.5,6/30/1970
1970,M07,1970 Jul,40.9,6.2,7/31/1970
1970,M08,1970 Aug,41,6.2,8/31/1970
1970,M09,1970 Sep,41.3,6.2,9/30/1970
1970,M10,1970 Oct,41.6,6.4,10/31/1970
1970,M11,1970 Nov,41.9,6.6,11/30/1970
1970,M12,1970 Dec,42.1,6.6,12/31/1970
1971,M01,1971 Jan,42.1,6.3,1/31/1971
1971,M02,1971 Feb,42.1,5.8,2/28/1971
1971,M03,1971 Mar,42.2,5.2,3/31/1971
1971,M04,1971 Apr,42.3,5,4/30/1971
1971,M05,1971 May,42.6,5.2,5/31/1971
1971,M06,1971 Jun,42.8,4.9,6/30/1971
1971,M07,1971 Jul,42.9,4.9,7/31/1971
1971,M08,1971 Aug,42.9,4.6,8/31/1971
1971,M09,1971 Sep,43.1,4.4,9/30/1971
1971,M10,1971 Oct,43.2,3.8,10/31/1971
1971,M11,1971 Nov,43.3,3.3,11/30/1971
1971,M12,1971 Dec,43.4,3.1,12/31/1971
1972,M01,1972 Jan,43.4,3.1,1/31/1972
1972,M02,1972 Feb,43.5,3.3,2/29/1972
1972,M03,1972 Mar,43.6,3.3,3/31/1972
1972,M04,1972 Apr,43.7,3.3,4/30/1972
1972,M05,1972 May,43.9,3.1,5/31/1972
1972,M06,1972 Jun,44,2.8,6/30/1972
1972,M07,1972 Jul,44.1,2.8,7/31/1972
1972,M08,1972 Aug,44.3,3.3,8/31/1972
1972,M09,1972 Sep,44.3,2.8,9/30/1972
1972,M10,1972 Oct,44.5,3,10/31/1972
1972,M11,1972 Nov,44.6,3,11/30/1972
1972,M12,1972 Dec,44.7,3,12/31/1972
1973,M01,1973 Jan,44.6,2.8,1/31/1973
1973,M02,1973 Feb,44.7,2.8,2/28/1973
1973,M03,1973 Mar,44.9,3,3/31/1973
1973,M04,1973 Apr,45.1,3.2,4/30/1973
1973,M05,1973 May,45.3,3.2,5/31/1973
1973,M06,1973 Jun,45.4,3.2,6/30/1973
1973,M07,1973 Jul,45.5,3.2,7/31/1973
1973,M08,1973 Aug,45.7,3.2,8/31/1973
1973,M09,1973 Sep,46,3.8,9/30/1973
1973,M10,1973 Oct,46.4,4.3,10/31/1973
1973,M11,1973 Nov,46.6,4.5,11/30/1973
1973,M12,1973 Dec,46.8,4.7,12/31/1973
1974,M01,1974 Jan,46.8,4.9,1/31/1974
1974,M02,1974 Feb,47.1,5.4,2/28/1974
1974,M03,1974 Mar,47.5,5.8,3/31/1974
1974,M04,1974 Apr,47.9,6.2,4/30/1974
1974,M05,1974 May,48.4,6.8,5/31/1974
1974,M06,1974 Jun,49,7.9,6/30/1974
1974,M07,1974 Jul,49.5,8.8,7/31/1974
1974,M08,1974 Aug,50.1,9.6,8/31/1974
1974,M09,1974 Sep,50.7,10.2,9/30/1974
1974,M10,1974 Oct,51.3,10.6,10/31/1974
1974,M11,1974 Nov,51.8,11.2,11/30/1974
1974,M12,1974 Dec,52,11.1,12/31/1974
1975,M01,1975 Jan,52.2,11.5,1/31/1975
1975,M02,1975 Feb,52.6,11.7,2/28/1975
1975,M03,1975 Mar,52.9,11.4,3/31/1975
1975,M04,1975 Apr,53.3,11.3,4/30/1975
1975,M05,1975 May,53.5,10.5,5/31/1975
1975,M06,1975 Jun,53.7,9.6,6/30/1975
1975,M07,1975 Jul,54,9.1,7/31/1975
1975,M08,1975 Aug,54.2,8.2,8/31/1975
1975,M09,1975 Sep,54.6,7.7,9/30/1975
1975,M10,1975 Oct,54.9,7,10/31/1975
1975,M11,1975 Nov,55.3,6.8,11/30/1975
1975,M12,1975 Dec,55.5,6.7,12/31/1975
1976,M01,1976 Jan,55.7,6.7,1/31/1976
1976,M02,1976 Feb,56,6.5,2/29/1976
1976,M03,1976 Mar,56.4,6.6,3/31/1976
1976,M04,1976 Apr,56.7,6.4,4/30/1976
1976,M05,1976 May,57,6.5,5/31/1976
1976,M06,1976 Jun,57.2,6.5,6/30/1976
1976,M07,1976 Jul,57.6,6.7,7/31/1976
1976,M08,1976 Aug,57.9,6.8,8/31/1976
1976,M09,1976 Sep,58.3,6.8,9/30/1976
1976,M10,1976 Oct,58.6,6.7,10/31/1976
1976,M11,1976 Nov,58.9,6.5,11/30/1976
1976,M12,1976 Dec,58.9,6.1,12/31/1976
1977,M01,1977 Jan,59.2,6.3,1/31/1977
1977,M02,1977 Feb,59.5,6.3,2/28/1977
1977,M03,1977 Mar,59.9,6.2,3/31/1977
1977,M04,1977 Apr,60.3,6.3,4/30/1977
1977,M05,1977 May,60.6,6.3,5/31/1977
1977,M06,1977 Jun,61,6.6,6/30/1977
1977,M07,1977 Jul,61.2,6.3,7/31/1977
1977,M08,1977 Aug,61.5,6.2,8/31/1977
1977,M09,1977 Sep,61.9,6.2,9/30/1977
1977,M10,1977 Oct,62.1,6,10/31/1977
