Year,Period,Label,Value,12-Month % Change,Month
1950,M11,1950 Nov,24.6,3.8,11/30/1950
1950,M12,1950 Dec,24.98,5.8,12/31/1950
1951,M01,1951 Jan,25.38,8,1/31/1951
1951,M02,1951 Feb,25.83,9.4,2/28/1951
1951,M03,1951 Mar,25.88,9.5,3/31/1951
1951,M04,1951 Apr,25.92,9.6,4/30/1951
1951,M05,1951 May,25.99,9.3,5/31/1951
1951,M06,1951 Jun,25.93,8.6,6/30/1951
1951,M07,1951 Jul,25.91,7.6,7/31/1951
1951,M08,1951 Aug,25.86,6.9,8/31/1951
1951,M09,1951 Sep,26.03,6.9,9/30/1951
1951,M10,1951 Oct,26.16,6.8,10/31/1951
1951,M11,1951 Nov,26.32,7,11/30/1951
1951,M12,1951 Dec,26.47,6,12/31/1951
1952,M01,1952 Jan,26.45,4.2,1/31/1952
1952,M02,1952 Feb,26.41,2.2,2/29/1952
1952,M03,1952 Mar,26.39,2,3/31/1952
1952,M04,1952 Apr,26.46,2.1,4/30/1952
1952,M05,1952 May,26.47,1.8,5/31/1952
1952,M06,1952 Jun,26.53,2.3,6/30/1952
1952,M07,1952 Jul,26.68,3,7/31/1952
1952,M08,1952 Aug,26.69,3.2,8/31/1952
1952,M09,1952 Sep,26.63,2.3,9/30/1952
1952,M10,1952 Oct,26.69,2,10/31/1952
1952,M11,1952 Nov,26.69,1.4,11/30/1952
1952,M12,1952 Dec,26.71,0.9,12/31/1952
1953,M01,1953 Jan,26.64,0.7,1/31/1953
1953,M02,1953 Feb,26.59,0.7,2/28/1953
1953,M03,1953 Mar,26.63,0.9,3/31/1953
1953,M04,1953 Apr,26.69,0.9,4/30/1953
1953,M05,1953 May,26.7,0.9,5/31/1953
1953,M06,1953 Jun,26.77,0.9,6/30/1953
1953,M07,1953 Jul,26.79,0.4,7/31/1953
1953,M08,1953 Aug,26.85,0.6,8/31/1953
1953,M09,1953 Sep,26.89,1,9/30/1953
1953,M10,1953 Oct,26.95,1,10/31/1953
1953,M11,1953 Nov,26.85,0.6,11/30/1953
1953,M12,1953 Dec,26.87,0.6,12/31/1953
1954,M01,1954 Jan,26.94,1.1,1/31/1954
1954,M02,1954 Feb,26.99,1.5,2/28/1954
1954,M03,1954 Mar,26.93,1.1,3/31/1954
1954,M04,1954 Apr,26.86,0.6,4/30/1954
1954,M05,1954 May,26.93,0.9,5/31/1954
1954,M06,1954 Jun,26.94,0.6,6/30/1954
1954,M07,1954 Jul,26.86,0.3,7/31/1954
1954,M08,1954 Aug,26.85,0,8/31/1954
1954,M09,1954 Sep,26.81,-0.3,9/30/1954
1954,M10,1954 Oct,26.72,-0.9,10/31/1954
1954,M11,1954 Nov,26.78,-0.3,11/30/1954
1954,M12,1954 Dec,26.77,-0.4,12/31/1954
1955,M01,1955 Jan,26.77,-0.6,1/31/1955
1955,M02,1955 Feb,26.82,-0.6,2/28/1955
1955,M03,1955 Mar,26.79,-0.5,3/31/1955
1955,M04,1955 Apr,26.79,-0.3,4/30/1955
1955,M05,1955 May,26.77,-0.6,5/31/1955
1955,M06,1955 Jun,26.71,-0.9,6/30/1955
1955,M07,1955 Jul,26.76,-0.4,7/31/1955
1955,M08,1955 Aug,26.72,-0.5,8/31/1955
1955,M09,1955 Sep,26.85,0.1,9/30/1955
1955,M10,1955 Oct,26.82,0.4,10/31/1955
1955,M11,1955 Nov,26.88,0.4,11/30/1955
1955,M12,1955 Dec,26.87,0.4,12/31/1955
1956,M01,1956 Jan,26.83,0.2,1/31/1956
1956,M02,1956 Feb,26.86,0.1,2/29/1956
1956,M03,1956 Mar,26.89,0.4,3/31/1956
1956,M04,1956 Apr,26.93,0.5,4/30/1956
1956,M05,1956 May,27.03,1,5/31/1956
1956,M06,1956 Jun,27.15,1.6,6/30/1956
1956,M07,1956 Jul,27.29,2,7/31/1956
1956,M08,1956 Aug,27.31,2.2,8/31/1956
1956,M09,1956 Sep,27.35,1.9,9/30/1956
1956,M10,1956 Oct,27.51,2.6,10/31/1956
1956,M11,1956 Nov,27.51,2.3,11/30/1956
1956,M12,1956 Dec,27.63,2.8,12/31/1956
1957,M01,1957 Jan,27.67,3.1,1/31/1957
1957,M02,1957 Feb,27.8,3.5,2/28/1957
1957,M03,1957 Mar,27.86,3.6,3/31/1957
1957,M04,1957 Apr,27.93,3.7,4/30/1957
1957,M05,1957 May,28,3.6,5/31/1957
1957,M06,1957 Jun,28.11,3.5,6/30/1957
1957,M07,1957 Jul,28.19,3.3,7/31/1957
1957,M08,1957 Aug,28.28,3.6,8/31/1957
1957,M09,1957 Sep,28.32,3.5,9/30/1957
1957,M10,1957 Oct,28.32,2.9,10/31/1957
1957,M11,1957 Nov,28.41,3.3,11/30/1957
1957,M12,1957 Dec,28.47,3,12/31/1957
1958,M01,1958 Jan,28.64,3.5,1/31/1958
1958,M02,1958 Feb,28.7,3.2,2/28/1958
1958,M03,1958 Mar,28.87,3.6,3/31/1958
1958,M04,1958 Apr,28.94,3.6,4/30/1958
1958,M05,1958 May,28.94,3.4,5/31/1958
1958,M06,1958 Jun,28.91,2.8,6/30/1958
1958,M07,1958 Jul,28.89,2.5,7/31/1958
1958,M08,1958 Aug,28.94,2.3,8/31/1958
1958,M09,1958 Sep,28.91,2.1,9/30/1958
1958,M10,1958 Oct,28.91,2.1,10/31/1958
1958,M11,1958 Nov,28.95,1.9,11/30/1958
1958,M12,1958 Dec,28.97,1.8,12/31/1958
1959,M01,1959 Jan,29.01,1.3,1/31/1959
1959,M02,1959 Feb,29,1,2/28/1959
1959,M03,1959 Mar,28.97,0.3,3/31/1959
1959,M04,1959 Apr,28.98,0.1,4/30/1959
1959,M05,1959 May,29.04,0.3,5/31/1959
1959,M06,1959 Jun,29.11,0.7,6/30/1959
1959,M07,1959 Jul,29.15,0.9,7/31/1959
1959,M08,1959 Aug,29.18,0.8,8/31/1959
1959,M09,1959 Sep,29.25,1.2,9/30/1959
1959,M10,1959 Oct,29.35,1.5,10/31/1959
1959,M11,1959 Nov,29.35,1.4,11/30/1959
1959,M12,1959 Dec,29.41,1.5,12/31/1959
1960,M01,1960 Jan,29.37,1.2,1/31/1960
1960,M02,1960 Feb,29.41,1.4,2/29/1960
1960,M03,1960 Mar,29.41,1.5,3/31/1960
1960,M04,1960 Apr,29.54,1.9,4/30/1960
1960,M05,1960 May,29.57,1.8,5/31/1960
1960,M06,1960 Jun,29.61,1.7,6/30/1960
1960,M07,1960 Jul,29.55,1.4,7/31/1960
1960,M08,1960 Aug,29.61,1.5,8/31/1960
1960,M09,1960 Sep,29.61,1.2,9/30/1960
1960,M10,1960 Oct,29.75,1.4,10/31/1960
1960,M11,1960 Nov,29.78,1.5,11/30/1960
1960,M12,1960 Dec,29.81,1.4,12/31/1960
1961,M01,1961 Jan,29.84,1.6,1/31/1961
1961,M02,1961 Feb,29.84,1.5,2/28/1961
1961,M03,1961 Mar,29.84,1.5,3/31/1961
1961,M04,1961 Apr,29.81,0.9,4/30/1961
1961,M05,1961 May,29.84,0.9,5/31/1961
1961,M06,1961 Jun,29.84,0.8,6/30/1961
1961,M07,1961 Jul,29.92,1.3,7/31/1961
1961,M08,1961 Aug,29.94,1.1,8/31/1961
1961,M09,1961 Sep,29.98,1.2,9/30/1961
1961,M10,1961 Oct,29.98,0.8,10/31/1961
1961,M11,1961 Nov,29.98,0.7,11/30/1961
1961,M12,1961 Dec,30.01,0.7,12/31/1961
1962,M01,1962 Jan,30.04,0.7,1/31/1962
1962,M02,1962 Feb,30.11,0.9,2/28/1962
1962,M03,1962 Mar,30.17,1.1,3/31/1962
1962,M04,1962 Apr,30.21,1.3,4/30/1962
1962,M05,1962 May,30.24,1.3,5/31/1962
1962,M06,1962 Jun,30.21,1.2,6/30/1962
1962,M07,1962 Jul,30.22,1,7/31/1962
1962,M08,1962 Aug,30.28,1.1,8/31/1962
1962,M09,1962 Sep,30.42,1.5,9/30/1962
1962,M10,1962 Oct,30.38,1.3,10/31/1962
1962,M11,1962 Nov,30.38,1.3,11/30/1962
1962,M12,1962 Dec,30.38,1.2,12/31/1962
1963,M01,1963 Jan,30.44,1.3,1/31/1963
1963,M02,1963 Feb,30.48,1.2,2/28/1963
1963,M03,1963 Mar,30.51,1.1,3/31/1963
1963,M04,1963 Apr,30.48,0.9,4/30/1963
1963,M05,1963 May,30.51,0.9,5/31/1963
1963,M06,1963 Jun,30.61,1.3,6/30/1963
1963,M07,1963 Jul,30.69,1.6,7/31/1963
1963,M08,1963 Aug,30.75,1.6,8/31/1963
1963,M09,1963 Sep,30.72,1,9/30/1963
1963,M10,1963 Oct,30.75,1.2,10/31/1963
1963,M11,1963 Nov,30.78,1.3,11/30/1963
1963,M12,1963 Dec,30.88,1.6,12/31/1963
1964,M01,1964 Jan,30.94,1.6,1/31/1964
1964,M02,1964 Feb,30.91,1.4,2/29/1964
1964,M03,1964 Mar,30.94,1.4,3/31/1964
1964,M04,1964 Apr,30.95,1.5,4/30/1964
1964,M05,1964 May,30.98,1.5,5/31/1964
1964,M06,1964 Jun,31.01,1.3,6/30/1964
1964,M07,1964 Jul,31.02,1.1,7/31/1964
1964,M08,1964 Aug,31.05,1,8/31/1964
1964,M09,1964 Sep,31.08,1.2,9/30/1964
1964,M10,1964 Oct,31.12,1.2,10/31/1964
1964,M11,1964 Nov,31.21,1.4,11/30/1964
1964,M12,1964 Dec,31.25,1.2,12/31/1964
1965,M01,1965 Jan,31.28,1.1,1/31/1965
1965,M02,1965 Feb,31.28,1.2,2/28/1965
1965,M03,1965 Mar,31.31,1.2,3/31/1965
1965,M04,1965 Apr,31.38,1.4,4/30/1965
1965,M05,1965 May,31.48,1.6,5/31/1965
1965,M06,1965 Jun,31.61,1.9,6/30/1965
1965,M07,1965 Jul,31.58,1.8,7/31/1965
1965,M08,1965 Aug,31.55,1.6,8/31/1965
1965,M09,1965 Sep,31.62,1.7,9/30/1965
1965,M10,1965 Oct,31.65,1.7,10/31/1965
1965,M11,1965 Nov,31.75,1.7,11/30/1965
1965,M12,1965 Dec,31.85,1.9,12/31/1965
1966,M01,1966 Jan,31.88,1.9,1/31/1966
1966,M02,1966 Feb,32.08,2.6,2/28/1966
1966,M03,1966 Mar,32.18,2.8,3/31/1966
1966,M04,1966 Apr,32.28,2.9,4/30/1966
1966,M05,1966 May,32.35,2.8,5/31/1966
1966,M06,1966 Jun,32.38,2.4,6/30/1966
1966,M07,1966 Jul,32.45,2.8,7/31/1966
1966,M08,1966 Aug,32.65,3.5,8/31/1966
1966,M09,1966 Sep,32.75,3.6,9/30/1966
1966,M10,1966 Oct,32.85,3.8,10/31/1966
1966,M11,1966 Nov,32.88,3.6,11/30/1966
1966,M12,1966 Dec,32.92,3.4,12/31/1966
1967,M01,1967 Jan,32.9,3.2,1/31/1967
1967,M02,1967 Feb,33,2.9,2/28/1967
1967,M03,1967 Mar,33,2.5,3/31/1967
1967,M04,1967 Apr,33.1,2.5,4/30/1967
1967,M05,1967 May,33.1,2.3,5/31/1967
1967,M06,1967 Jun,33.3,2.8,6/30/1967
1967,M07,1967 Jul,33.4,2.9,7/31/1967
1967,M08,1967 Aug,33.5,2.6,8/31/1967
1967,M09,1967 Sep,33.6,2.6,9/30/1967
1967,M10,1967 Oct,33.7,2.6,10/31/1967
1967,M11,1967 Nov,33.9,3.1,11/30/1967
1967,M12,1967 Dec,34,3.3,12/31/1967
1968,M01,1968 Jan,34.1,3.6,1/31/1968
1968,M02,1968 Feb,34.2,3.6,2/29/1968
1968,M03,1968 Mar,34.3,3.9,3/31/1968
1968,M04,1968 Apr,34.4,3.9,4/30/1968
1968,M05,1968 May,34.5,4.2,5/31/1968
1968,M06,1968 Jun,34.7,4.2,6/30/1968
1968,M07,1968 Jul,34.9,4.5,7/31/1968
1968,M08,1968 Aug,35,4.5,8/31/1968
1968,M09,1968 Sep,35.1,4.5,9/30/1968
1968,M10,1968 Oct,35.3,4.7,10/31/1968
1968,M11,1968 Nov,35.4,4.4,11/30/1968
1968,M12,1968 Dec,35.6,4.7,12/31/1968
1969,M01,1969 Jan,35.7,4.7,1/31/1969
1969,M02,1969 Feb,35.8,4.7,2/28/1969
1969,M03,1969 Mar,36.1,5.2,3/31/1969
1969,M04,1969 Apr,36.3,5.5,4/30/1969
1969,M05,1969 May,36.4,5.5,5/31/1969
1969,M06,1969 Jun,36.6,5.5,6/30/1969
1969,M07,1969 Jul,36.8,5.4,7/31/1969
1969,M08,1969 Aug,36.9,5.4,8/31/1969
1969,M09,1969 Sep,37.1,5.7,9/30/1969
1969,M10,1969 Oct,37.3,5.7,10/31/1969
1969,M11,1969 Nov,37.5,5.9,11/30/1969
1969,M12,1969 Dec,37.7,5.9,12/31/1969
1970,M01,1970 Jan,37.9,6.2,1/31/1970
1970,M02,1970 Feb,38.1,6.4,2/28/1970
1970,M03,1970 Mar,38.3,6.1,3/31/1970
1970,M04,1970 Apr,38.5,6.1,4/30/1970
1970,M05,1970 May,38.6,6,5/31/1970
1970,M06,1970 Jun,38.8,6,6/30/1970
1970,M07,1970 Jul,38.9,5.7,7/31/1970
1970,M08,1970 Aug,39,5.7,8/31/1970
1970,M09,1970 Sep,39.2,5.7,9/30/1970
1970,M10,1970 Oct,39.4,5.6,10/31/1970
1970,M11,1970 Nov,39.6,5.6,11/30/1970
1970,M12,1970 Dec,39.8,5.6,12/31/1970
1971,M01,1971 Jan,39.9,5.3,1/31/1971
1971,M02,1971 Feb,39.9,4.7,2/28/1971
1971,M03,1971 Mar,40,4.4,3/31/1971
1971,M04,1971 Apr,40.1,4.2,4/30/1971
1971,M05,1971 May,40.3,4.4,5/31/1971
1971,M06,1971 Jun,40.5,4.4,6/30/1971
1971,M07,1971 Jul,40.6,4.4,7/31/1971
1971,M08,1971 Aug,40.7,4.4,8/31/1971
1971,M09,1971 Sep,40.8,4.1,9/30/1971
1971,M10,1971 Oct,40.9,3.8,10/31/1971
1971,M11,1971 Nov,41,3.5,11/30/1971
1971,M12,1971 Dec,41.1,3.3,12/31/1971
1972,M01,1972 Jan,41.2,3.3,1/31/1972
1972,M02,1972 Feb,41.4,3.8,2/29/1972
1972,M03,1972 Mar,41.4,3.5,3/31/1972
1972,M04,1972 Apr,41.5,3.5,4/30/1972
1972,M05,1972 May,41.6,3.2,5/31/1972
